,"Density
(P/Km2)",Agricultural Land( %),Land Area(Km2),Armed Forces size,Co2-Emissions,CPI,CPI Change (%),Forested Area (%),Gasoline Price,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Minimum wage,Out of pocket health expenditure,Physicians per thousand,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,Latitude,Longitude,Deforestation
57,7.2305631534092925,32.4,5.75890177387728,7.601402334583733,1342.0,113.45,1.6,1.1,1.36,23.416957212690214,105.0,54.3,1.9600947840472698,1.803358605071407,37.1,2.86,56.5,26.2,44.0,3.47,13.072969330934678,35.937496,14.375416,0.0
58,6.440946540632921,42.4,7.621195162809845,8.006700845440367,4349.0,129.91,0.4,19.0,1.12,23.375129708616786,101.1,40.6,2.681021528714291,0.3220834991691132,50.7,2.53,58.3,19.1,22.2,6.67,13.153825222080338,-20.348404,57.552152,3.4339872044851463
59,4.204692619390966,54.6,14.490685195601609,12.724869415131389,486406.0,141.54,3.6,33.9,0.73,27.860772163282626,105.8,40.2,2.4849066497880004,0.3987761199573678,41.4,2.38,60.7,13.1,55.1,3.42,18.446610249811357,23.634501,-102.552784,12.018664172287654
60,10.178768042270166,39.03009708737864,1.0986122886681098,10.357774570341576,24952.0,123.78,2.3,29.90388349514563,2.0,22.695239671343185,101.9,41.16019417475728,1.2809338454620647,2.543175557911976,6.1,6.56,62.055,15.97659574468085,37.7,5.375,10.570419086277662,43.7384176,7.4246158,0.0
61,4.430816798843313,68.5,13.00930889450041,12.413090879946887,61276.0,111.07,0.2,12.6,0.99,25.500078086375666,113.9,35.9,3.005682604407159,0.9555114450274363,53.1,0.73,45.3,21.9,45.8,9.02,16.94991840139576,31.791702,-7.09262,7.67368812926773
62,3.713572066704308,63.5,13.59159295715103,9.305741456739435,7943.0,182.31,2.8,48.0,0.65,23.426917038421827,112.6,7.3,4.007333185232471,0.23901690047049992,6.8,0.08,78.1,0.0,36.1,3.24,16.221744332263416,-18.665695,35.529562,12.495120035511652
63,1.3862943611198906,47.1,13.622281328211397,9.680406499268875,4228.0,157.97,3.7,8.3,0.76,23.238259282249057,124.2,22.9,3.4011973816621555,0.5128236264286635,8.3,0.42,59.5,27.1,20.7,20.27,14.057090313247297,-22.95764,18.49041,8.0774471493312
64,6.295266001439646,39.03009708737864,3.091042453358316,10.357774570341576,24952.0,123.78,2.3,29.90388349514563,1.0253535353535355,18.705859693704824,101.9,41.16019417475728,3.045123274290848,1.1320237604348904,32.097058823529416,2.0679611650485437,62.055,15.97659574468085,37.7,5.375,15.589493371229572,-0.522778,166.931503,0.0
65,6.2324480165505225,53.3,10.634508385524155,10.62135173563291,170780.0,115.91,2.6,11.2,1.68,27.535688370547824,104.2,85.0,1.458615022699517,2.4239173781615704,12.3,3.61,63.6,23.0,41.2,3.2,16.583383804804676,52.132633,5.291266,8.607216694063826
66,2.9444389791664403,40.5,12.501867966392414,9.105090961257085,34382.0,114.24,1.6,38.6,1.4,26.055640443184288,100.0,82.0,1.7404661748405044,2.5249283241374862,12.6,3.59,69.9,29.0,34.6,4.07,15.264512311603564,-40.900557,174.885971,9.220389707829185
